店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
1点点（松江万达店）,https://www.meituan.com/meishi/94367245/,4.1,0,17.0,松江万达广场
CoCo都可（龙湖天街华泾店）,https://www.meituan.com/meishi/1602472408/,4.4,281,12.0,徐汇区
悸动烧仙草（松江沪亭北路店）,https://www.meituan.com/meishi/1823000130/,4.2,63,16.0,九亭
CoCo都可（大润发华漕店）,https://www.meituan.com/meishi/150458996/,4.0,508,11.0,华漕
茶百道（新达汇三林店）,https://www.meituan.com/meishi/1270257939/,4.7,37,16.0,世博园
快乐柠檬happylemon（鹤沙航城店）,https://www.meituan.com/meishi/158862660/,4.2,273,19.0,迪士尼
CoCo都可（松江万达店）,https://www.meituan.com/meishi/91779191/,4.3,491,13.0,松江万达广场
茶百道（庙前街店）,https://www.meituan.com/meishi/1670710699/,4.6,116,15.0,松江镇
蜜雪冰城（海汇街店）,https://www.meituan.com/meishi/184494514/,4.0,5,7.0,金山卫
CoCo都可（嘉亭荟店）,https://www.meituan.com/meishi/164346241/,4.4,652,12.0,安亭镇
厝内小眷村（浦东新大陆店）,https://www.meituan.com/meishi/159685613/,4.2,106,27.0,八佰伴
桂源铺（浦东百联临沂店）,https://www.meituan.com/meishi/165529550/,4.2,486,15.0,临沂/南码头
CoCo都可（华新店）,https://www.meituan.com/meishi/4036547/,4.4,313,10.0,华新镇
茶百道（华泾龙湖天街店）,https://www.meituan.com/meishi/1145781285/,4.5,33,16.0,徐汇区
悸动烧仙草（鹿溪北路店）,https://www.meituan.com/meishi/1341328672/,4.5,141,15.0,迪士尼
CoCo都可（人民广场店）,https://www.meituan.com/meishi/450443/,4.0,475,10.0,人民广场/南京路
1点点（临港宝龙店）,https://www.meituan.com/meishi/184283920/,3.6,0,16.0,泥城
和气桃桃（银座荟店）,https://www.meituan.com/meishi/187228149/,4.3,38,17.0,八佰伴
茶百道（民耀路店）,https://www.meituan.com/meishi/1093859284/,4.4,12,16.0,曹路
CoCo都可（金山百联店）,https://www.meituan.com/meishi/52329607/,4.2,855,13.0,卫清路
悸动烧仙草（新世界美食城店）,https://www.meituan.com/meishi/1367064236/,3.8,44,15.0,南汇新城
茶百道（宝杨宝龙广场店）,https://www.meituan.com/meishi/517546361/,4.3,33,15.0,宝山城区/吴淞
茶百道（绚荟城店）,https://www.meituan.com/meishi/1728251394/,4.8,42,16.0,春申地区
CoCo都可（连城一号店）,https://www.meituan.com/meishi/41287118/,4.3,1003,13.0,西渡镇
茶百道（航头店）,https://www.meituan.com/meishi/1857017204/,4.8,26,16.0,航头
茶百道（招商花园城店）,https://www.meituan.com/meishi/698903005/,4.8,21,15.0,杨行镇
茶百道（徐汇交大番禺路店）,https://www.meituan.com/meishi/1438793310/,4.7,10,16.0,徐家汇
CoCo都可（南翔印象城MEGA店）,https://www.meituan.com/meishi/1235871712/,4.2,210,13.0,南翔
张阿姨奶茶（崇明八一路店）,https://www.meituan.com/meishi/156797874/,4.6,875,13.0,南门
CoCo都可（信业店）,https://www.meituan.com/meishi/1191946532/,4.1,354,15.0,嘉定镇
悸动烧仙草（天山路店）,https://www.meituan.com/meishi/1213500449/,4.3,20,16.0,天山
1点点（新源店）,https://www.meituan.com/meishi/95027988/,4.2,0,16.0,安亭新源路
