店铺名称,评价人数,店铺评分,综合得分
乾和祥茶室,241,5.0,4.925469680059524
遇到你要的時光茶馆（淮海店）,198,5.0,4.910135690789473
半谷花艺茶道,131,5.0,4.867734925176056
盛樱极茶,101,5.0,4.832306780133928
铜雀台茶艺馆,91,5.0,4.815866268382353
本茶,91,5.0,4.815866268382353
初云茶舍（金桥文峰广场店）,77,5.0,4.786572265625
隐溪茶馆（肇嘉浜路店）,68,5.0,4.762257713607594
半盏茶室,59,5.0,4.731690848214286
敬茶坊（东下塘街店）,46,5.0,4.670497532894737
