店铺名称,评价人数,店铺评分,综合得分
蜜雪冰城（广富林路店）,1278,4.8,4.650221819273929
7分甜（上海闵行马桥万达店）,523,4.9,4.592062287699742
张阿姨奶茶（八一路2店）,1625,4.6,4.523061011073075
桂源铺（太平洋生活广场店）,643,4.7,4.513401679576861
CoCo都可（嘉定宝龙店）,615,4.7,4.5088068743953915
桂源铺（松江新理想店）,1139,4.6,4.500550416516164
桂源铺（新达汇三林店）,561,4.7,4.4992745793324715
张阿姨奶茶（崇明八一路店）,875,4.6,4.481758139628516
桂源铺（环球港店）,856,4.6,4.480127927490748
悸动烧仙草（浦东路店）,835,4.6,4.47827300631862
